id,lang,prefix,total,good,views,edits,users,admins,ts,loclang,images,loclanglink,activeusers,version,si_mainpage,si_base,si_sitename,si_generator,si_phpversion,si_phpsapi,si_dbtype,si_dbversion,si_rev,si_case,si_rights,si_lang,si_fallback8bitEncoding,si_writeapi,si_timezone,si_timeoffset,si_articlepath,si_scriptpath,si_script,si_variantarticlepath,si_server,si_wikiid,si_time,method,http
142,Yoruba,yo,53457,31114,0,549855,12853,1,2015-11-02 00:08:12,Yorùbá,212,Èdè Yorùbá,36,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
75,Aragonese,an,100159,30873,0,1614250,37408,6,2015-11-02 00:09:52,Aragonés,1172,Idioma_aragonés,88,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
66,Swahili,sw,75724,30521,1,1001967,22442,9,2015-11-02 00:06:21,Kiswahili,1991,Kiswahili,81,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
77,Nepali,ne,73942,27082,0,512104,24391,15,2015-11-02 00:09:19,नेपाली,393,नेपाली भाषा,142,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
5,Ido,io,39813,26307,2,937551,18127,4,2015-11-02 00:06:56,Ido,102,Ido,57,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
42,Gujarati,gu,59779,25745,0,407378,27026,3,2015-11-02 00:05:58,ગુજરાતી,272,ગુજરાતી_ભાષા,55,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
17,Sicilian,scn,56564,25332,0,749410,21778,7,2015-11-02 00:06:34,Sicilianu,1419,Lingua_siciliana,37,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
253,Bishnupriya Manipuri,bpy,57579,25060,0,804686,14757,1,2015-11-02 00:05:16,ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী,200,বিষ্ণুপ্রিয়া মণিপুরী,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
49,Low Saxon,nds,62386,24259,26,789565,24852,5,2015-11-02 00:05:48,Plattdüütsch,0,Plattdüütsch,50,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
12,Kurdish,ku,51785,21396,75,678664,25770,6,2015-11-02 00:06:50,Kurdî / كوردی,678,Zimanê kurdî,67,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
102,Alemannic,als,46101,20161,1,666622,45857,7,2015-11-02 00:09:46,Alemannisch,787,Alemannisch,99,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
97,Quechua,qu,51336,19416,0,658027,14650,2,2015-11-02 00:09:42,Runa Simi,85,Qhichwa_simi,33,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
108,Punjabi,pa,61596,19258,0,271724,12388,4,2015-11-02 00:09:31,ਪੰਜਾਬੀ,1001,ਪੰਜਾਬੀ,115,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
80,Sundanese,su,43205,18465,0,482273,14245,7,2015-11-02 00:09:00,Basa Sunda,587,Basa_Sunda,32,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
