id,lang,prefix,total,good,views,edits,users,admins,ts,loclang,images,loclanglink,activeusers,version,si_mainpage,si_base,si_sitename,si_generator,si_phpversion,si_phpsapi,si_dbtype,si_dbversion,si_rev,si_case,si_rights,si_lang,si_fallback8bitEncoding,si_writeapi,si_timezone,si_timeoffset,si_articlepath,si_scriptpath,si_script,si_variantarticlepath,si_server,si_wikiid,si_time,method,http
64,Kannada,kn,63857,16600,0,551615,29338,5,2015-11-02 00:06:17,ಕನ್ನಡ,3230,ಕನ್ನಡ,92,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
284,Sorani,ckb,98402,16371,0,500726,19997,5,2015-11-02 00:03:46,Soranî / کوردی,446,دەستپێک,95,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
252,Bavarian,bar,73257,15413,0,559648,30186,8,2015-11-02 00:05:14,Boarisch,730,Boarische Språch,179,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
107,Mongolian,mn,44550,14873,2,465086,36397,7,2015-11-02 00:09:29,Монгол,1474,Монгол хэл,88,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
45,Interlingua,ia,25463,14566,41,556692,22851,6,2015-11-02 00:06:04,Interlingua,26,Interlingua,32,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
281,Egyptian Arabic,arz,117315,14459,0,743166,71381,7,2015-11-02 00:03:23,مصرى (Maṣrī),1649,اللغه المصريه الحديثه,93,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
184,Neapolitan,nap,28702,14279,0,692887,13799,2,2015-11-02 00:02:35,Nnapulitano,450,Lengua napulitana,24,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
230,Samogitian,bat-smg,24093,14109,0,343874,14291,4,2015-11-02 00:04:47,Žemaitėška,644,Žemaitiu_kalba,21,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
151,Buginese,bug,18261,14103,0,198002,7295,0,2015-11-02 00:02:54,Basa Ugi,3,ᨅᨗᨌᨑ ᨕᨘᨁᨗ,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
211,Walloon,wa,35922,13927,76344,324154,11731,2,2015-11-02 00:01:42,Walon,2200,Walon,20,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
121,Scottish Gaelic,gd,28130,13414,1,519791,12858,5,2015-11-02 00:07:51,Gàidhlig,479,Gàidhlig,38,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
114,Amharic,am,42282,12980,0,342935,19746,3,2015-11-02 00:07:57,አማርኛ,1602,አማርኛ,27,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
240,Banyumasan,map-bms,26269,12968,0,205973,7946,1,2015-11-02 00:04:41,Basa Banyumasan,555,Basa_Banyumasan,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
55,Yiddish,yi,36718,12942,1,521720,22147,3,2015-11-02 00:06:06,ייִדיש,1452,יידיש,34,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
244,Mazandarani,mzn,25400,12152,0,135181,10565,3,2015-11-02 00:04:59,مَزِروني,216,مازرونی زیوون,21,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
73,Faroese,fo,33224,11395,41,341273,13357,3,2015-11-02 00:05:35,Føroyskt,140,Føroyskt (mál),42,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
200,Sinhalese,si,52991,11365,0,357453,22975,2,2015-11-02 00:01:11,සිංහල,4007,සිංහල භාෂාව,93,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
99,Nahuatl,nah,22646,10864,621,416018,12109,3,2015-11-02 00:09:56,Nāhuatl,214,Nāhuatlahtōlli,20,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
210,Venetian,vec,32739,10666,0,591777,15472,4,2015-11-02 00:01:40,Vèneto,706,Łéngua_vèneta,43,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
278,Sakha,sah,34322,10527,0,342077,10579,2,2015-11-02 00:03:17,Саха тыла (Saxa Tyla),1937,Саха тыла,38,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
180,Limburgish,li,38817,10232,0,396853,13673,5,2015-11-02 00:02:47,Limburgs,684,Limburgs,34,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
190,Ossetian,os,38169,10197,0,482725,13433,3,2015-11-02 00:01:57,Иронау,342,Ирон_æвзаг,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
130,Oriya,or,46737,10093,1,226519,10194,4,2015-11-02 00:08:03,ଓଡ଼ିଆ,147,ଓଡ଼ିଆ,71,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
96,Sanskrit,sa,35007,10092,1,323821,15175,4,2015-11-02 00:09:40,संस्कृतम्,507,संस्कृत भाषा,47,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
293,Hill Mari,mrj,14365,10090,0,97452,4566,0,2015-11-02 00:04:13,Кырык Мары (Kyryk Mary) ,48,,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
249,Upper Sorbian,hsb,25294,9877,0,339920,12912,3,2015-11-02 00:05:43,Hornjoserbsce,246,Hornjoserbšćina,24,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
256,Tarantino,roa-tara,16985,9216,0,135033,6012,2,2015-11-02 00:05:22,Tarandíne,310,Dialètte tarandine,17,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
191,Kapampangan,pam,18234,8505,0,293076,10707,2,2015-11-02 00:01:17,Kapampangan,818,Kapampangan_(amanu),19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
283,Meadow Mari,mhr,18837,7947,0,146066,6609,0,2015-11-02 00:03:44,Олык Марий (Olyk Marij),401,Тӱҥ лаштык,15,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
309,South Azerbaijani,azb,12558,7733,,62386,1070,3,2015-11-02 00:10:24,تۆرکجه,0,,47,,,,,,,,,,,,,,,,,,,,,,,,,8,200,
172,Ilokano,ilo,35414,7461,0,272224,8093,2,2015-11-02 00:03:00,Ilokano,112,Pagsasao nga Iloko,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
197,Northern Sami,se,16683,7179,0,286154,13208,5,2015-11-02 00:01:09,Sámegiella,59,Davvisámegiella,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
82,Maori,mi,12773,7086,3,146664,7047,4,2015-11-02 00:09:04,Māori,13,Reo_Māori,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
268,Central_Bicolano,bcl,11794,6629,0,167524,9127,1,2015-11-02 00:05:10,Bikol,1300,Tataramon na Bikol,29,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
274,Fiji Hindi,hif,18536,6585,0,231899,13609,2,2015-11-02 00:05:08,Fiji Hindi,196,Fiji Hindi bhasa,30,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
275,Gan,gan,32977,6324,0,408228,23581,2,2015-11-02 00:08:45,贛語,260,贛語,28,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
109,Pashto,ps,16858,6261,1,181155,10984,0,2015-11-02 00:09:33,پښتو,1365,پښتو,35,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
247,Emilian-Romagnol,eml,20102,6199,0,96614,10217,2,2015-11-02 00:05:39,Emiliàn e rumagnòl,1209,Langua emiglièna-rumagnôla,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
266,Hakka,hak,11052,6082,0,101588,15339,0,2015-11-02 00:03:42,Hak-kâ-fa / 客家話,38,Hak-kâ-fa,28,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
254,Zazaki,diq,21991,5954,0,361242,12629,2,2015-11-02 00:05:18,Zazaki,221,Zazaki,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
147,Bihari,bh,20902,5941,0,212826,7531,3,2015-11-02 00:08:22,भोजपुरी,29,भोजपुरी_भाषा,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
261,Gilaki,glk,11895,5808,0,48614,7581,2,2015-11-02 00:04:17,گیلکی,893,گیلکی زوان,17,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
297,Rusyn,rue,9699,5795,0,106083,10574,0,2015-11-02 00:04:05,русиньскый язык,24,,15,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
228,Dutch Low Saxon,nds-nl,15670,5768,0,303562,13142,7,2015-11-02 00:03:10,Nedersaksisch,1060,Nederlaands_Leegsaksisch,21,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
233,West Flemish,vls,17127,5681,0,297498,12168,5,2015-11-02 00:04:53,West-Vlams,530,West-Vlams,23,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
118,Tibetan,bo,16028,5628,0,137803,13012,0,2015-11-02 00:07:45,བོད་སྐད,292,བོད་སྐད།,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
162,Võro,fiu-vro,9632,5365,0,176439,7159,2,2015-11-02 00:02:08,Võro,252,Võro_kiil,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
300,Mingrelian,xmf,17982,5332,,115549,6340,2,2015-11-02 00:03:56,მარგალური (Margaluri),0,,21,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
33,Corsican,co,13256,5165,9,364675,10239,2,2015-11-02 00:07:11,Corsu,64,Lingua_corsa,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
203,Turkmen,tk,12270,5051,0,201437,11351,1,2015-11-02 00:01:23,تركمن / Туркмен,381,Türkmen_dili,26,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
111,Sardinian,sc,12406,5021,0,151380,9418,2,2015-11-02 00:08:49,Sardu,178,Limba_sarda,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
303,Vepsian,vep,11763,4932,,78718,5438,0,2015-11-02 00:10:03,VepsÃ¤n,52,,25,n/a or error,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
308,Northern Luri,lrc,6645,4833,,21907,703,1,2015-11-02 00:10:26,لۊری شومالی,0,,12,,,,,,,,,,,,,,,,,,,,,,,,,8,200,
122,Manx,gv,17479,4822,1,304760,9953,2,2015-11-02 00:07:53,Gaelg,205,Gaelg,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
92,Khmer,km,23832,4743,0,169373,17186,6,2015-11-02 00:09:21,ភាសាខ្មែរ,1198,ភាសាខ្មែរ,44,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
119,Kashubian,csb,8250,4687,2,173673,8334,1,2015-11-02 00:07:47,Kaszëbsczi,142,Kaszëbsczi jãzëk,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
177,Komi,kv,10343,4487,0,130355,7066,0,2015-11-02 00:02:41,Коми,315,Коми кыв,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
269,Crimean Tatar,crh,15876,4324,0,133992,8939,1,2015-11-02 00:03:29,Qırımtatarca,3,Qırımtatar tili,25,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
132,Sindhi,sd,10154,4289,0,45899,5171,3,2015-11-02 00:08:54,سنڌي، سندھی ، सिन्ध,43,سنڌي ٻولي,23,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
255,Zeelandic,zea,7703,4283,0,99604,6199,4,2015-11-02 00:05:20,Zeêuws,7,Zeêuws,10,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
291,North Frisian,frr,14507,4219,0,107300,7078,3,2015-11-02 00:04:03,Nordfriisk,638,,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
258,Classical Chinese,zh-classical,66759,4052,0,257184,55936,1,2015-11-02 00:05:04,古文 / 文言文,2,文言,74,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
243,Wu,wuu,12106,3935,0,225676,36618,3,2015-11-02 00:04:55,吴语,384,吴语,46,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
115,Assamese,as,35796,3774,0,156080,12524,4,2015-11-02 00:07:59,অসমীয়া,1357,অসমীয়া ভাষা আৰু লিপি,51,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
201,Somali,so,14992,3691,0,160593,12718,2,2015-11-02 00:01:13,Soomaaliga,159,Af-Soomaali,58,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
279,Silesian,szl,11426,3681,0,232525,10757,3,2015-11-02 00:03:19,Ślůnski,4,Ślůnsko godka,15,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
207,Udmurt,udm,9338,3660,0,108317,6985,4,2015-11-02 00:01:36,Удмурт кыл,168,Удмурт_кыл,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
67,Aymara,ay,7494,3656,0,81008,8703,0,2015-11-02 00:06:23,Aymar,14,Aymar_aru,20,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
106,Cornish,kw,8143,3642,0,175674,7137,0,2015-11-02 00:09:27,Kernewek/Karnuack,76,Kernewek,14,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
271,Saterland Frisian,stq,8660,3627,0,117663,7026,3,2015-11-02 00:03:36,Seeltersk,493,Seeltersk,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
241,Norman,nrm,7949,3588,0,215022,7064,0,2015-11-02 00:04:43,Nouormand/Normaund,5,Normaund,14,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
131,Romansh,rm,8497,3546,0,149001,9190,3,2015-11-02 00:08:06,Rumantsch,53,Rumantsch dal Grischun,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
294,Komi-Permyak,koi,7357,3421,0,55234,4176,0,2015-11-02 00:04:11,Перем Коми (Perem Komi),275,,5,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
262,Min Dong,cdo,7958,3404,0,47537,9831,1,2015-11-02 00:04:20,Mìng-dĕ̤ng-ngṳ̄,41,Mìng-dĕ̤ng-ngṳ̄,27,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
178,Ladino,lad,10524,3351,0,161816,10259,4,2015-11-02 00:02:43,Dzhudezmo,61,Lingua Judeo-Española,26,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
54,Interlingue,ie,6045,3181,0,123737,7851,1,2015-11-02 00:05:33,Interlingue,12,Interlingue,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
163,Friulian,fur,7248,3136,0,166268,7508,1,2015-11-02 00:02:10,Furlan,433,Lenghe_furlane,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
95,Maltese,mt,14696,3127,0,257839,10797,4,2015-11-02 00:09:38,Malti,1196,Lingwa_Maltija,30,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
288,Picard,pcd,7119,3070,0,54329,5809,1,2015-11-02 00:04:26,Picard,102,,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
90,Guarani,gn,8180,3026,0,99269,8110,1,2015-11-02 00:08:43,Avañe'ẽ,15,Avañe'ẽ,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
270,Lower Sorbian,dsb,9846,2979,0,137954,9886,2,2015-11-02 00:03:33,Dolnoserbski,18,Dolnoserbšćina,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
160,Divehi,dv,11184,2978,0,125394,14264,1,2015-11-02 00:02:03,ދިވެހިބަސް,1053,ދިވެހި,14,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
229,Ligurian,lij,12332,2953,0,162393,6592,0,2015-11-02 00:04:45,Líguru,139,Lengoa zeneize,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
257,Zamboanga Chavacano,cbk-zam,4931,2856,0,107116,8166,1,2015-11-02 00:05:24,Chavacano de Zamboanga,0,Chavacano,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
231,Ripuarian,ksh,9864,2778,0,2124189,13213,2,2015-11-02 00:04:49,Ripoarisch,111,Ripoarėsch (Shprooch),18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
272,Erzya,myv,6322,2765,0,83535,5412,4,2015-11-02 00:03:27,Эрзянь (Erzjanj Kelj),19,Эрзянь кель,10,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
295,Gagauz,gag,6048,2747,0,64488,5560,1,2015-11-02 00:04:09,Gagauz,3,,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
273,Extremaduran,ext,5975,2746,0,111824,8847,0,2015-11-02 00:03:25,Estremeñu,3,Luenga estremeña,29,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
286,Mirandese,mwl,6852,2724,0,88306,6290,2,2015-11-02 00:04:22,Mirandés,2,,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
29,Anglo-Saxon,ang,14048,2704,0,188962,73587,1,2015-11-02 00:07:05,Englisc,384,Englisc_sprǣc,40,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
301,Lezgian,lez,6419,2690,,58032,4227,5,2015-11-02 00:03:59,ÐÐµÐ·Ð³Ð¸ ÑÐÐ°Ð»,110,,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
302,Northern Sotho,nso,4023,2687,,21672,2242,1,2015-11-02 00:10:01,Sesotho sa Leboa,0,,16,n/a or error,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
287,Acehnese,ace,8014,2599,0,96998,11730,1,2015-11-02 00:04:24,Bahsa Acèh,115,Ôn Keuë,30,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
208,Uyghur,ug,10342,2562,0,145254,10531,1,2015-11-02 00:10:07,ئۇيغۇر تىلى,648,Uyghur_tili,20,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
192,Pali,pi,4322,2514,0,101598,3478,0,2015-11-02 00:01:19,पाऴि,1,पाली भाषा,6,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
251,Pangasinan,pag,7373,2512,0,61079,4085,0,2015-11-02 00:05:12,Pangasinan,44,Salitan_Pangasinan,7,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
265,Kabyle,kab,7876,2501,0,64058,5412,0,2015-11-02 00:03:40,Taqbaylit,32,Taqbaylit,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
187,Navajo,nv,13074,2461,0,154078,8150,2,2015-11-02 00:02:39,Diné bizaad,329,Diné bizaad,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
133,Shona,sn,6029,2377,0,45246,5710,0,2015-11-02 00:08:24,chiShona,3,,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
234,Franco-Provençal/Arpitan,frp,5473,2362,0,190271,7695,2,2015-11-02 00:04:28,Arpitan,33,Arpitan,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
126,Lingala,ln,6810,2079,0,112771,5936,2,2015-11-02 00:07:32,Lingala,36,Lingála,14,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
146,Avar,av,8347,2071,0,61325,6449,1,2015-11-02 00:08:20,Авар,52,МагIарул мацI,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
296,Palatinate German,pfl,4673,2036,0,57126,4960,6,2015-11-02 00:04:07,Pfälzisch,57,,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
166,Hawaiian,haw,4702,2032,0,71115,7376,0,2015-11-02 00:01:49,Hawai`i,1,‘Ōlelo_Hawai‘i,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
237,Kalmyk,xal,9402,2018,0,79355,5387,2,2015-11-02 00:04:34,Хальмг,6,Хальмг_келн,9,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
289,Karachay-Balkar,krc,13203,2003,0,107893,5049,1,2015-11-02 00:02:37,Къарачай-Малкъар (Qarachay-Malqar),114,,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
277,Karakalpak,kaa,4430,1798,0,42375,5335,1,2015-11-02 00:03:14,Qaraqalpaqsha,3,Qaraqalpaq tili,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
110,Kinyarwanda,rw,5006,1784,0,77364,5458,0,2015-11-02 00:08:47,Ikinyarwanda,0,Kinyarwanda,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
232,Pennsylvania German,pdc,5432,1755,0,105577,16911,1,2015-11-02 00:04:51,Deitsch,162,Pennsilfaanisch_Deitsch,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
204,Tongan,to,6094,1672,0,34394,4608,1,2015-11-02 00:01:26,faka Tonga,446,Lea_fakatonga,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
125,Greenlandic,kl,4730,1617,0,71771,6894,2,2015-11-02 00:07:30,Kalaallisut,0,Kalaallisut,15,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
145,Aramaic,arc,6354,1601,0,91511,11017,3,2015-11-02 00:08:18,ܐܪܡܝܐ,65,ܠܫܢܐ ܐܪܡܝܐ,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
250,Novial,nov,4244,1599,0,184487,5629,2,2015-11-02 00:05:27,Novial,9,Novial,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
299,Kabardian Circassian,kbd,6204,1539,,40791,4288,1,2015-11-02 00:03:54,Адыгэбзэ (Adighabze),20,,9,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
306,Maithili,mai,6547,1530,,23524,1337,1,2015-11-02 00:00:58,मैथिली,16,,22,,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
307,Gova Konknni,gom,5680,1483,,100395,795,1,2015-11-02 00:10:21,गोवा कोंकणी,0,,23,,,,,,,,,,,,,,,,,,,,,,,,,8,200,
